,,,d1,d2,d3,num_face,sum,nflush,is_pair,dtot1,dtot2
"(2, 's')","(2, 'c')","(2, 'd')",0,0,0,0,6,1,3,0,0
"(2, 's')","(2, 'c')","(2, 'h')",0,0,0,0,6,1,3,0,0
"(2, 's')","(2, 'c')","(3, 's')",0,1,1,0,7,2,2,-1,2
"(2, 's')","(2, 'c')","(3, 'c')",0,1,1,0,7,2,2,-1,2
"(2, 's')","(2, 'c')","(3, 'd')",0,1,1,0,7,1,2,-1,2
"(2, 's')","(2, 'c')","(3, 'h')",0,1,1,0,7,1,2,-1,2
"(2, 's')","(2, 'c')","(4, 's')",0,2,2,0,8,2,2,-2,4
"(2, 's')","(2, 'c')","(4, 'c')",0,2,2,0,8,2,2,-2,4
"(2, 's')","(2, 'c')","(4, 'd')",0,2,2,0,8,1,2,-2,4
"(2, 's')","(2, 'c')","(4, 'h')",0,2,2,0,8,1,2,-2,4
"(2, 's')","(2, 'c')","(5, 's')",0,3,3,0,9,2,2,-3,6
"(2, 's')","(2, 'c')","(5, 'c')",0,3,3,0,9,2,2,-3,6
"(2, 's')","(2, 'c')","(5, 'd')",0,3,3,0,9,1,2,-3,6
"(2, 's')","(2, 'c')","(5, 'h')",0,3,3,0,9,1,2,-3,6
"(2, 's')","(2, 'c')","(6, 's')",0,4,4,0,10,2,2,-4,8
"(2, 's')","(2, 'c')","(6, 'c')",0,4,4,0,10,2,2,-4,8
"(2, 's')","(2, 'c')","(6, 'd')",0,4,4,0,10,1,2,-4,8
"(2, 's')","(2, 'c')","(6, 'h')",0,4,4,0,10,1,2,-4,8
"(2, 's')","(2, 'c')","(7, 's')",0,5,5,0,11,2,2,-5,10
"(2, 's')","(2, 'c')","(7, 'c')",0,5,5,0,11,2,2,-5,10
"(2, 's')","(2, 'c')","(7, 'd')",0,5,5,0,11,1,2,-5,10
"(2, 's')","(2, 'c')","(7, 'h')",0,5,5,0,11,1,2,-5,10
"(2, 's')","(2, 'c')","(8, 's')",0,6,6,0,12,2,2,-6,12
"(2, 's')","(2, 'c')","(8, 'c')",0,6,6,0,12,2,2,-6,12
"(2, 's')","(2, 'c')","(8, 'd')",0,6,6,0,12,1,2,-6,12
"(2, 's')","(2, 'c')","(8, 'h')",0,6,6,0,12,1,2,-6,12
"(2, 's')","(2, 'c')","(9, 's')",0,7,7,0,13,2,2,-7,14
"(2, 's')","(2, 'c')","(9, 'c')",0,7,7,0,13,2,2,-7,14
"(2, 's')","(2, 'c')","(9, 'd')",0,7,7,0,13,1,2,-7,14
"(2, 's')","(2, 'c')","(9, 'h')",0,7,7,0,13,1,2,-7,14
"(2, 's')","(2, 'c')","(10, 's')",0,8,8,1,14,2,2,-8,16
"(2, 's')","(2, 'c')","(10, 'c')",0,8,8,1,14,2,2,-8,16
"(2, 's')","(2, 'c')","(10, 'd')",0,8,8,1,14,1,2,-8,16
"(2, 's')","(2, 'c')","(10, 'h')",0,8,8,1,14,1,2,-8,16
"(2, 's')","(2, 'c')","(11, 's')",0,9,9,1,15,2,2,-9,18
"(2, 's')","(2, 'c')","(11, 'c')",0,9,9,1,15,2,2,-9,18
"(2, 's')","(2, 'c')","(11, 'd')",0,9,9,1,15,1,2,-9,18
"(2, 's')","(2, 'c')","(11, 'h')",0,9,9,1,15,1,2,-9,18
"(2, 's')","(2, 'c')","(12, 's')",0,10,10,1,16,2,2,-10,20
"(2, 's')","(2, 'c')","(12, 'c')",0,10,10,1,16,2,2,-10,20
"(2, 's')","(2, 'c')","(12, 'd')",0,10,10,1,16,1,2,-10,20
"(2, 's')","(2, 'c')","(12, 'h')",0,10,10,1,16,1,2,-10,20
"(2, 's')","(2, 'c')","(13, 's')",0,11,11,1,17,2,2,-11,22
"(2, 's')","(2, 'c')","(13, 'c')",0,11,11,1,17,2,2,-11,22
"(2, 's')","(2, 'c')","(13, 'd')",0,11,11,1,17,1,2,-11,22
"(2, 's')","(2, 'c')","(13, 'h')",0,11,11,1,17,1,2,-11,22
"(2, 's')","(2, 'c')","(14, 's')",0,12,12,1,18,2,2,-12,24
"(2, 's')","(2, 'c')","(14, 'c')",0,12,12,1,18,2,2,-12,24
"(2, 's')","(2, 'c')","(14, 'd')",0,12,12,1,18,1,2,-12,24
"(2, 's')","(2, 'c')","(14, 'h')",0,12,12,1,18,1,2,-12,24
"(2, 's')","(2, 'd')","(2, 'h')",0,0,0,0,6,1,3,0,0
"(2, 's')","(2, 'd')","(3, 's')",0,1,1,0,7,2,2,-1,2
"(2, 's')","(2, 'd')","(3, 'c')",0,1,1,0,7,1,2,-1,2
"(2, 's')","(2, 'd')","(3, 'd')",0,1,1,0,7,2,2,-1,2
"(2, 's')","(2, 'd')","(3, 'h')",0,1,1,0,7,1,2,-1,2
"(2, 's')","(2, 'd')","(4, 's')",0,2,2,0,8,2,2,-2,4
"(2, 's')","(2, 'd')","(4, 'c')",0,2,2,0,8,1,2,-2,4
"(2, 's')","(2, 'd')","(4, 'd')",0,2,2,0,8,2,2,-2,4
"(2, 's')","(2, 'd')","(4, 'h')",0,2,2,0,8,1,2,-2,4
"(2, 's')","(2, 'd')","(5, 's')",0,3,3,0,9,2,2,-3,6
"(2, 's')","(2, 'd')","(5, 'c')",0,3,3,0,9,1,2,-3,6
"(2, 's')","(2, 'd')","(5, 'd')",0,3,3,0,9,2,2,-3,6
"(2, 's')","(2, 'd')","(5, 'h')",0,3,3,0,9,1,2,-3,6
"(2, 's')","(2, 'd')","(6, 's')",0,4,4,0,10,2,2,-4,8
"(2, 's')","(2, 'd')","(6, 'c')",0,4,4,0,10,1,2,-4,8
"(2, 's')","(2, 'd')","(6, 'd')",0,4,4,0,10,2,2,-4,8
"(2, 's')","(2, 'd')","(6, 'h')",0,4,4,0,10,1,2,-4,8
"(2, 's')","(2, 'd')","(7, 's')",0,5,5,0,11,2,2,-5,10
"(2, 's')","(2, 'd')","(7, 'c')",0,5,5,0,11,1,2,-5,10
"(2, 's')","(2, 'd')","(7, 'd')",0,5,5,0,11,2,2,-5,10
"(2, 's')","(2, 'd')","(7, 'h')",0,5,5,0,11,1,2,-5,10
"(2, 's')","(2, 'd')","(8, 's')",0,6,6,0,12,2,2,-6,12
"(2, 's')","(2, 'd')","(8, 'c')",0,6,6,0,12,1,2,-6,12
"(2, 's')","(2, 'd')","(8, 'd')",0,6,6,0,12,2,2,-6,12
"(2, 's')","(2, 'd')","(8, 'h')",0,6,6,0,12,1,2,-6,12
"(2, 's')","(2, 'd')","(9, 's')",0,7,7,0,13,2,2,-7,14
"(2, 's')","(2, 'd')","(9, 'c')",0,7,7,0,13,1,2,-7,14
"(2, 's')","(2, 'd')","(9, 'd')",0,7,7,0,13,2,2,-7,14
"(2, 's')","(2, 'd')","(9, 'h')",0,7,7,0,13,1,2,-7,14
"(2, 's')","(2, 'd')","(10, 's')",0,8,8,1,14,2,2,-8,16
"(2, 's')","(2, 'd')","(10, 'c')",0,8,8,1,14,1,2,-8,16
"(2, 's')","(2, 'd')","(10, 'd')",0,8,8,1,14,2,2,-8,16
"(2, 's')","(2, 'd')","(10, 'h')",0,8,8,1,14,1,2,-8,16
"(2, 's')","(2, 'd')","(11, 's')",0,9,9,1,15,2,2,-9,18
"(2, 's')","(2, 'd')","(11, 'c')",0,9,9,1,15,1,2,-9,18
"(2, 's')","(2, 'd')","(11, 'd')",0,9,9,1,15,2,2,-9,18
"(2, 's')","(2, 'd')","(11, 'h')",0,9,9,1,15,1,2,-9,18
"(2, 's')","(2, 'd')","(12, 's')",0,10,10,1,16,2,2,-10,20
"(2, 's')","(2, 'd')","(12, 'c')",0,10,10,1,16,1,2,-10,20
"(2, 's')","(2, 'd')","(12, 'd')",0,10,10,1,16,2,2,-10,20
"(2, 's')","(2, 'd')","(12, 'h')",0,10,10,1,16,1,2,-10,20
"(2, 's')","(2, 'd')","(13, 's')",0,11,11,1,17,2,2,-11,22
"(2, 's')","(2, 'd')","(13, 'c')",0,11,11,1,17,1,2,-11,22
"(2, 's')","(2, 'd')","(13, 'd')",0,11,11,1,17,2,2,-11,22
"(2, 's')","(2, 'd')","(13, 'h')",0,11,11,1,17,1,2,-11,22
"(2, 's')","(2, 'd')","(14, 's')",0,12,12,1,18,2,2,-12,24
"(2, 's')","(2, 'd')","(14, 'c')",0,12,12,1,18,1,2,-12,24
"(2, 's')","(2, 'd')","(14, 'd')",0,12,12,1,18,2,2,-12,24
"(2, 's')","(2, 'd')","(14, 'h')",0,12,12,1,18,1,2,-12,24
"(2, 's')","(2, 'h')","(3, 's')",0,1,1,0,7,2,2,-1,2
"(2, 's')","(2, 'h')","(3, 'c')",0,1,1,0,7,1,2,-1,2
"(2, 's')","(2, 'h')","(3, 'd')",0,1,1,0,7,1,2,-1,2
"(2, 's')","(2, 'h')","(3, 'h')",0,1,1,0,7,2,2,-1,2
"(2, 's')","(2, 'h')","(4, 's')",0,2,2,0,8,2,2,-2,4
"(2, 's')","(2, 'h')","(4, 'c')",0,2,2,0,8,1,2,-2,4
"(2, 's')","(2, 'h')","(4, 'd')",0,2,2,0,8,1,2,-2,4
"(2, 's')","(2, 'h')","(4, 'h')",0,2,2,0,8,2,2,-2,4
"(2, 's')","(2, 'h')","(5, 's')",0,3,3,0,9,2,2,-3,6
"(2, 's')","(2, 'h')","(5, 'c')",0,3,3,0,9,1,2,-3,6
"(2, 's')","(2, 'h')","(5, 'd')",0,3,3,0,9,1,2,-3,6
"(2, 's')","(2, 'h')","(5, 'h')",0,3,3,0,9,2,2,-3,6
"(2, 's')","(2, 'h')","(6, 's')",0,4,4,0,10,2,2,-4,8
"(2, 's')","(2, 'h')","(6, 'c')",0,4,4,0,10,1,2,-4,8
"(2, 's')","(2, 'h')","(6, 'd')",0,4,4,0,10,1,2,-4,8
"(2, 's')","(2, 'h')","(6, 'h')",0,4,4,0,10,2,2,-4,8
"(2, 's')","(2, 'h')","(7, 's')",0,5,5,0,11,2,2,-5,10
"(2, 's')","(2, 'h')","(7, 'c')",0,5,5,0,11,1,2,-5,10
"(2, 's')","(2, 'h')","(7, 'd')",0,5,5,0,11,1,2,-5,10
"(2, 's')","(2, 'h')","(7, 'h')",0,5,5,0,11,2,2,-5,10
"(2, 's')","(2, 'h')","(8, 's')",0,6,6,0,12,2,2,-6,12
"(2, 's')","(2, 'h')","(8, 'c')",0,6,6,0,12,1,2,-6,12
"(2, 's')","(2, 'h')","(8, 'd')",0,6,6,0,12,1,2,-6,12
"(2, 's')","(2, 'h')","(8, 'h')",0,6,6,0,12,2,2,-6,12
"(2, 's')","(2, 'h')","(9, 's')",0,7,7,0,13,2,2,-7,14
"(2, 's')","(2, 'h')","(9, 'c')",0,7,7,0,13,1,2,-7,14
"(2, 's')","(2, 'h')","(9, 'd')",0,7,7,0,13,1,2,-7,14
"(2, 's')","(2, 'h')","(9, 'h')",0,7,7,0,13,2,2,-7,14
